customer_id,age,gender,city,plan_type,monthly_bill,data_usage_gb,call_minutes,sms_count,complaints,customer_tenure_months,payment_method,network_quality,support_calls,device_type,churn_status,customer_rating
C10047,26.0,Male,Pune,Basic,2295.08,28.34,174,54,3,18,UPI,Poor,6,Android,Yes,1.7
C10291,46.0,Male,Trichy,Standard,1021.97,9.16,441,53,2,51,Debit Card,Poor,1,Android,Yes,2.9
C10755,31.0,Male,Mumbai,Premium,1196.5,29.23,360,48,1,54,UPI,Average,2,iPhone,No,3.0
C10449,22.0,Male,Madurai,Standard,2389.49,34.39,292,52,1,16,UPI,Average,2,Android,Yes,2.9
C10912,21.0,Female,Coimbatore,Standard,1168.94,6.19,478,56,2,83,Net Banking,Excellent,3,Android,No,2.6
C10294,35.0,Male,Hyderabad,Standard,570.35,16.24,722,54,3,70,Debit Card,Good,0,Android,No,3.6
C10801,32.0,Female,Madurai,Standard,1579.58,16.94,388,41,0,66,UPI,Average,2,iPhone,No,4.0
C10987,54.0,Female,Madurai,Premium,278.19,10.96,414,50,0,32,Net Banking,Good,1,Feature Phone,No,4.3
C10194,41.0,Male,Bengaluru,Basic,341.7,23.53,172,37,0,29,UPI,Poor,2,iPhone,No,4.3
C10736,52.0,Male,Madurai,Unlimited,1573.09,4.09,451,42,3,33,UPI,Excellent,1,Android,No,3.9
C10444,57.0,Female,Bengaluru,Standard,474.89,25.74,730,34,2,35,UPI,Average,3,Android,No,2.6
C10570,26.0,Female,Pune,Standard,221.79,20.48,497,35,0,84,Credit Card,Poor,0,Android,No,3.1
C10357,48.0,Female,Madurai,Basic,850.55,12.13,252,33,4,4,Net Banking,Average,3,Android,Yes,2.1
C10789,55.0,Female,Pune,Unlimited,1226.47,13.35,256,37,3,94,Auto Pay,Average,0,Android,Yes,2.7
C10536,38.0,Male,Trichy,Standard,668.76,14.36,366,42,1,21,UPI,Excellent,3,Android,Yes,3.4
C10828,25.0,Male,Coimbatore,Standard,650.92,4.96,454,42,3,16,UPI,Poor,2,Feature Phone,Yes,2.6
C10223,34.0,Other,Coimbatore,Premium,1474.88,15.22,911,54,1,75,Debit Card,Average,5,Feature Phone,Yes,1.0
C10881,19.0,Male,Pune,Premium,,9.29,430,42,1,65,UPI,Good,1,Android,No,3.5
C10143,32.0,Female,Hyderabad,Premium,2072.09,15.35,385,44,1,49,Net Banking,Excellent,1,Android,No,4.3
C10655,23.0,Male,Kochi,Unlimited,,9.95,464,52,2,31,Credit Card,Good,3,iPhone,No,2.8
C11033,54.0,Male,Salem,Basic,333.45,23.26,519,46,1,19,UPI,Average,4,iPhone,Yes,3.0
C10522,25.0,Female,Hyderabad,Premium,2085.58,8.17,601,48,0,75,Credit Card,Excellent,0,Android,No,4.8
C10985,31.0,Female,Pune,Standard,1499.46,28.99,249,39,1,8,UPI,Good,5,Android,Yes,3.0
C10253,18.0,Female,Trichy,Standard,752.54,13.18,500,49,6,23,Auto Pay,Good,2,Feature Phone,Yes,2.0
C10543,52.0,Male,Salem,Standard,584.97,9.14,808,45,3,32,Credit Card,Average,4,iPhone,No,2.8
C10451,46.0,Male,Chennai,Standard,1722.32,15.63,533,41,1,73,Debit Card,Excellent,1,Android,Yes,4.7
C10542,52.0,Male,Coimbatore,Unlimited,1906.27,,333,48,2,70,Net Banking,Excellent,1,iPhone,No,3.4
C10820,60.0,Male,Mumbai,Standard,1985.64,4.23,210,56,0,55,UPI,Good,2,iPhone,No,3.6
C11155,31.0,Male,Trichy,Basic,2380.25,44.04,428,48,0,38,UPI,Average,0,Android,No,5.0
C10778,47.0,Other,Mumbai,Standard,1308.98,,394,39,1,62,UPI,Average,2,Feature Phone,No,3.4
C10984,43.0,Female,Trichy,Unlimited,1177.66,5.52,241,39,1,70,Auto Pay,Good,3,Android,Yes,3.2
C10838,49.0,Male,Salem,Basic,2338.38,6.78,278,62,1,46,UPI,Good,2,Android,Yes,4.3
C10966,19.0,Male,Trichy,Unlimited,2289.3,15.79,211,45,0,46,UPI,Excellent,5,Android,Yes,3.3
C10562,39.0,Male,Kochi,Standard,1100.17,24.65,299,35,0,54,UPI,Average,4,Android,No,3.2
C10322,51.0,Female,Pune,Standard,1544.1,13.99,230,57,1,35,Auto Pay,Good,2,Android,Yes,2.8
C10944,28.0,Male,Bengaluru,Unlimited,1485.2,23.79,262,54,5,26,UPI,Good,1,iPhone,Yes,2.3
C10367,44.0,Female,Chennai,Standard,2237.19,19.59,356,47,0,86,Debit Card,Poor,3,iPhone,No,3.6
C10957,19.0,Male,Madurai,Standard,,10.47,100,43,2,32,Auto Pay,Average,1,Feature Phone,Yes,4.0
C10440,64.0,Male,Coimbatore,Standard,961.72,6.69,812,49,2,76,UPI,,1,Android,No,4.0
C10019,41.0,Male,Bengaluru,Premium,1299.53,6.39,107,52,1,23,Credit Card,Good,1,Android,No,4.5
C10726,28.0,Female,Bengaluru,Premium,1428.49,22.6,612,59,1,61,Debit Card,Poor,3,Android,No,3.3
C10324,47.0,Male,Salem,Premium,600.14,30.97,959,41,1,21,Debit Card,Poor,2,iPhone,No,3.6
C10231,33.0,Male,Salem,Basic,254.21,14.56,73,50,0,3,Debit Card,Excellent,1,Android,No,5.0
C10225,41.0,Male,Mumbai,Premium,208.63,17.48,86,38,2,87,UPI,Average,2,Feature Phone,No,3.8
C10043,35.0,Female,Kochi,Premium,635.85,8.68,254,49,2,10,UPI,Excellent,1,Android,Yes,2.9
C10833,20.0,Female,Coimbatore,Standard,2172.25,19.08,230,45,1,30,UPI,Poor,2,iPhone,No,3.4
C10786,19.0,Male,Bengaluru,Standard,1406.61,6.91,212,48,1,92,Credit Card,Good,3,iPhone,Yes,3.2
C10181,44.0,Male,Mumbai,Basic,1215.22,20.17,627,49,3,42,Credit Card,Good,0,iPhone,Yes,3.4
C10452,20.0,Male,Chennai,Unlimited,1928.2,4.24,583,46,0,42,Auto Pay,Good,1,Android,Yes,4.2
C10751,27.0,Female,Pune,Premium,1507.6,5.42,332,50,1,30,Net Banking,Excellent,2,Android,No,3.6
C10170,45.0,Male,Trichy,Unlimited,706.12,17.03,250,54,2,69,UPI,Good,2,Android,No,3.9
C11143,29.0,Female,Madurai,Basic,1373.06,22.86,853,45,0,33,UPI,Good,3,iPhone,Yes,4.3
C10379,43.0,Female,Coimbatore,Premium,2262.99,7.37,249,40,3,7,Debit Card,Good,3,Android,Yes,2.7
C10017,39.0,Male,Salem,Premium,2415.0,8.13,212,41,1,52,UPI,Average,0,iPhone,Yes,4.1
C10214,36.0,Female,Trichy,Standard,482.55,36.74,232,39,2,91,UPI,Poor,1,Android,Yes,3.0
C10506,18.0,Female,Madurai,Unlimited,990.41,27.81,224,47,1,94,Credit Card,Good,1,iPhone,No,4.4
C10980,37.0,Female,Pune,Standard,679.92,26.22,612,35,0,46,Credit Card,Good,1,Android,No,3.8
C10024,38.0,Female,Bengaluru,Standard,441.61,9.27,210,55,1,46,Net Banking,Excellent,2,Android,No,3.2
C10588,59.0,Male,Chennai,Unlimited,974.86,,298,41,0,71,Net Banking,Good,2,Feature Phone,No,3.4
C10718,47.0,Female,Mumbai,Unlimited,,15.95,181,44,1,79,UPI,Good,2,Android,No,2.7
C11101,62.0,Male,Madurai,Premium,314.4,21.59,704,44,1,41,Net Banking,Excellent,1,Android,No,4.6
C10699,53.0,Female,Trichy,Standard,2231.47,6.98,187,47,1,3,Net Banking,Excellent,2,iPhone,No,4.8
C10479,53.0,Female,Hyderabad,Premium,1830.59,18.87,981,50,4,29,UPI,Excellent,1,Feature Phone,Yes,2.8
C10694,25.0,Female,Salem,Premium,668.4,16.15,408,40,1,66,Auto Pay,Good,3,iPhone,Yes,2.8
C10663,38.0,Male,Trichy,Unlimited,448.97,12.36,501,38,4,38,UPI,Average,2,iPhone,Yes,2.7
C10659,62.0,Male,Hyderabad,Basic,1101.1,9.63,634,54,1,55,UPI,Good,3,Android,Yes,4.4
C11093,,Female,Salem,Basic,987.96,6.14,465,57,0,78,Debit Card,Excellent,1,iPhone,No,4.2
C10815,51.0,Male,Salem,Unlimited,1287.9,15.53,261,51,2,59,Credit Card,Good,3,Android,No,2.7
C10010,28.0,Female,Kochi,Basic,258.09,6.78,409,47,2,41,Net Banking,Excellent,3,iPhone,No,2.7
C10827,33.0,Female,Mumbai,Premium,1660.24,16.46,351,54,0,23,Debit Card,Average,2,Android,Yes,4.3
C10618,36.0,Female,Trichy,Basic,2087.88,8.79,829,40,0,71,UPI,Average,1,iPhone,No,4.4
C11179,52.0,Female,Coimbatore,Standard,2476.66,25.82,459,50,2,81,Debit Card,Excellent,3,iPhone,No,3.2
C10608,30.0,Female,Pune,Standard,,14.12,493,56,2,92,UPI,Average,2,iPhone,No,3.1
C11200,60.0,Male,Madurai,Basic,1223.69,23.68,359,38,2,35,Auto Pay,Excellent,1,iPhone,No,4.3
C10795,32.0,Female,Madurai,Standard,756.41,9.92,309,38,1,70,UPI,Poor,3,Android,Yes,2.9
C11070,23.0,Male,Pune,Premium,357.13,3.72,311,43,0,9,Net Banking,Excellent,1,Android,No,4.1
C10396,45.0,Female,Mumbai,Basic,,12.3,157,39,1,69,,Excellent,1,Feature Phone,No,3.9
C10693,43.0,Female,Pune,Standard,2094.19,3.08,349,59,4,10,UPI,Average,5,Android,Yes,2.2
C10468,43.0,Female,Coimbatore,Unlimited,1080.81,16.58,309,48,2,48,Credit Card,Good,2,iPhone,No,3.5
C10722,18.0,Male,Mumbai,Standard,1904.6,20.47,410,40,0,10,UPI,Good,2,Android,No,4.5
C10962,32.0,Female,Kochi,Basic,,6.29,73,50,3,74,Auto Pay,Good,2,Android,Yes,3.0
C11123,27.0,Male,Salem,Standard,2255.05,4.23,580,47,5,47,UPI,Excellent,3,Android,No,2.3
C11178,58.0,Male,Kochi,Premium,1383.88,40.92,352,59,0,20,Auto Pay,Average,1,iPhone,No,4.1
C10197,49.0,Female,Salem,Basic,1500.84,11.85,277,43,4,47,UPI,Average,2,iPhone,No,2.1
C10393,29.0,Male,Hyderabad,Premium,1683.89,46.51,326,50,0,6,UPI,Average,3,iPhone,No,3.7
C10210,54.0,Female,Pune,Unlimited,881.21,13.42,127,58,1,76,Debit Card,Excellent,2,Feature Phone,No,4.0
C10788,56.0,Male,Pune,Premium,779.0,13.17,935,39,1,45,Credit Card,Average,2,Android,No,3.8
C11019,31.0,Male,Bengaluru,Standard,1066.56,12.8,1054,38,2,53,Net Banking,Good,0,Feature Phone,No,4.3
C10460,45.0,Female,Salem,Premium,1757.76,6.76,349,46,1,64,Debit Card,Excellent,1,iPhone,No,4.6
C11154,46.0,Female,Pune,Standard,2063.57,10.16,457,45,3,13,Net Banking,Good,1,iPhone,Yes,3.0
C10066,21.0,Male,Salem,Standard,979.4,16.68,393,43,0,70,UPI,Excellent,4,iPhone,No,3.4
C10725,64.0,Male,Mumbai,Premium,1473.18,16.9,190,37,1,23,Debit Card,Good,0,Feature Phone,Yes,3.1
C11177,43.0,Male,Hyderabad,Standard,1797.43,4.51,82,39,1,51,UPI,Good,1,Android,No,4.8
C10877,45.0,Other,Pune,Standard,953.13,19.03,794,52,1,49,UPI,Good,2,Android,No,3.9
C10310,50.0,Female,Salem,Premium,1321.81,9.36,121,39,0,58,UPI,Good,5,iPhone,No,4.0
C10037,20.0,Male,Hyderabad,Standard,2061.83,8.83,144,48,2,24,Credit Card,Good,1,Android,Yes,3.5
C11165,,Male,Mumbai,Basic,2488.47,6.58,212,44,3,95,Net Banking,Good,1,Feature Phone,No,3.4
C10426,59.0,Male,Trichy,Basic,1317.2,9.23,68,46,1,59,Debit Card,Good,1,iPhone,Yes,3.5
C10508,57.0,Male,Hyderabad,Premium,1212.53,7.15,309,40,2,26,Credit Card,Excellent,2,Android,Yes,3.4
C10278,41.0,Male,,Premium,1752.55,10.45,292,66,3,15,Credit Card,Good,1,Android,No,3.8
C11028,39.0,Male,Mumbai,Premium,1104.64,10.4,412,53,1,84,Debit Card,Average,2,iPhone,No,4.1
C10867,43.0,Male,Coimbatore,Unlimited,394.42,4.65,290,45,2,94,Net Banking,Good,3,Android,No,3.6
C10606,24.0,Female,Pune,Standard,337.52,10.12,323,38,1,15,Net Banking,Average,0,Android,No,4.3
C10131,54.0,Male,Coimbatore,Basic,291.66,15.02,246,47,2,17,Credit Card,Excellent,2,Android,No,2.3
C10045,42.0,Male,Coimbatore,Standard,1478.87,10.89,378,41,2,55,Debit Card,Poor,2,Android,No,2.8
C10437,29.0,Male,Kochi,Basic,1786.74,2.13,391,52,3,62,Debit Card,Excellent,4,iPhone,Yes,3.1
C10430,36.0,Female,Kochi,Standard,2059.3,18.57,423,49,2,25,Auto Pay,Average,1,Android,Yes,2.7
C10486,22.0,Female,Madurai,Premium,1867.35,24.52,292,47,2,92,UPI,Average,2,Android,No,3.0
C10093,62.0,Female,Hyderabad,Unlimited,1100.01,15.25,445,44,0,4,Auto Pay,Good,0,Feature Phone,No,4.2
C10779,34.0,Female,Salem,Standard,695.87,31.73,146,57,2,77,Credit Card,Average,0,iPhone,No,3.8
C10352,50.0,Male,Chennai,Standard,386.62,22.2,354,37,2,78,UPI,Average,5,Feature Phone,No,2.5
C11016,48.0,Female,Bengaluru,Premium,1677.39,22.08,442,41,2,1,Credit Card,Average,1,Android,Yes,2.9
C11183,55.0,Female,Hyderabad,Basic,591.06,12.58,535,51,1,14,Net Banking,Good,4,Android,No,3.2
C10998,27.0,Male,Chennai,Premium,1927.27,12.21,267,38,2,82,Debit Card,Good,3,iPhone,No,3.3
C10428,36.0,Male,Madurai,Premium,770.64,30.19,374,36,2,95,UPI,,2,iPhone,No,3.2
C10104,34.0,Female,Coimbatore,Standard,1441.64,26.98,668,50,1,2,UPI,Average,3,Android,No,2.4
C10467,33.0,Female,Chennai,Standard,2151.93,34.95,371,58,1,37,Net Banking,Excellent,1,iPhone,No,3.8
C10026,29.0,Male,Mumbai,Standard,1450.99,14.51,419,47,0,31,Auto Pay,Good,2,iPhone,No,3.9
C11015,47.0,Female,Madurai,Premium,2459.78,48.76,248,58,2,74,UPI,Good,2,iPhone,No,3.0
C10951,57.0,Female,Kochi,Basic,382.34,13.95,342,39,1,41,Net Banking,Good,1,Android,No,5.0
C10590,31.0,Female,Pune,Basic,200.38,21.6,439,33,3,6,Debit Card,Excellent,2,iPhone,No,2.7
C10603,61.0,Male,Madurai,Basic,958.36,17.45,702,43,1,20,Net Banking,Excellent,4,Android,No,2.7
C10686,55.0,Male,Salem,Premium,651.38,16.58,334,47,0,81,Debit Card,Average,2,Android,Yes,3.6
C10873,64.0,Male,Trichy,Premium,997.11,23.17,603,31,2,60,Debit Card,Good,1,Android,No,4.1
C11012,41.0,Male,Bengaluru,Standard,1089.61,10.16,178,46,2,40,UPI,Good,2,Android,No,3.8
C11133,29.0,Female,Mumbai,Premium,1532.61,9.6,415,59,3,4,UPI,Good,2,iPhone,No,2.9
C10243,36.0,Male,Mumbai,Basic,2033.28,27.47,215,55,1,73,Credit Card,Good,1,Android,No,4.4
C10137,43.0,Male,Bengaluru,Standard,1305.94,36.21,122,47,0,64,Auto Pay,Average,0,Android,No,4.5
C11188,51.0,Female,Chennai,Unlimited,1312.6,13.5,341,39,3,88,UPI,Excellent,3,Android,Yes,2.4
C10534,53.0,Female,,Basic,992.54,22.27,813,47,1,22,Net Banking,Poor,2,Android,Yes,3.3
C10219,23.0,Male,Hyderabad,Premium,1772.92,6.41,544,51,0,5,Auto Pay,Poor,3,Android,No,3.1
C10577,33.0,Female,Madurai,Standard,770.79,28.57,217,46,2,88,Credit Card,,2,iPhone,No,3.1
C10776,22.0,Male,Bengaluru,Standard,870.4,11.78,494,47,1,42,Credit Card,Average,1,Android,No,3.5
C11055,55.0,Male,Kochi,Standard,1166.69,16.03,659,40,3,3,Credit Card,Good,1,Android,No,2.8
C10657,62.0,Female,Bengaluru,Standard,298.13,13.27,113,36,2,26,Net Banking,Poor,3,iPhone,Yes,2.2
C10738,38.0,Male,Kochi,Standard,313.09,13.53,235,43,2,2,Credit Card,Good,1,Android,No,3.5
C10691,45.0,Female,Coimbatore,Standard,1799.98,6.54,128,40,0,30,UPI,Average,2,Android,Yes,4.5
C10458,46.0,Male,Chennai,Unlimited,1820.59,12.41,261,44,0,84,UPI,Average,1,Android,No,5.0
C10524,43.0,Female,Coimbatore,Standard,1162.63,3.53,639,40,1,36,UPI,Average,0,Feature Phone,No,3.9
C10127,44.0,Male,Kochi,Basic,2211.81,30.41,169,48,3,89,Debit Card,Good,0,Android,No,3.3
C10812,37.0,Male,Salem,Basic,2075.21,11.23,422,37,0,10,UPI,Excellent,1,Feature Phone,No,4.0
C11141,57.0,Female,Mumbai,Unlimited,554.4,22.81,534,46,0,87,Auto Pay,Good,3,iPhone,No,3.8
C11008,34.0,Male,Chennai,Standard,670.05,21.65,14,46,3,55,UPI,,1,Android,No,3.1
C11130,43.0,Male,Kochi,Unlimited,840.0,10.52,117,37,1,85,Debit Card,Average,0,iPhone,No,4.0
C10808,27.0,Male,Madurai,Basic,356.41,7.13,186,45,1,7,UPI,Excellent,4,Android,Yes,2.9
C10273,52.0,Male,Pune,Unlimited,1460.75,19.87,337,49,3,55,Debit Card,Poor,1,Android,Yes,2.4
C10072,27.0,Female,Hyderabad,Basic,1014.88,16.51,481,28,1,17,UPI,Average,3,Feature Phone,No,3.9
C10692,53.0,Male,Madurai,Premium,1032.75,22.27,96,33,3,71,Debit Card,Average,1,iPhone,No,2.8
C10147,49.0,Female,Kochi,Standard,1680.1,13.18,226,51,1,27,UPI,Poor,2,Android,Yes,2.5
C10374,26.0,Male,Coimbatore,Premium,1855.36,7.41,430,43,1,5,Auto Pay,Good,4,Android,Yes,3.2
C11140,64.0,Female,Coimbatore,Premium,388.92,25.73,268,39,1,25,Auto Pay,Excellent,2,Android,No,3.2
C10864,47.0,Male,Pune,Standard,653.38,35.83,209,38,0,5,Credit Card,Poor,0,Android,No,3.3
C10790,51.0,Male,Trichy,Premium,482.93,25.38,240,43,3,35,Debit Card,Good,1,Android,No,3.5
C10750,27.0,Male,Chennai,Premium,2290.96,34.36,666,41,0,76,UPI,Excellent,1,Android,No,4.8
C10377,46.0,Male,Hyderabad,Standard,312.21,16.7,559,46,1,74,Debit Card,Good,2,Android,No,3.2
C10407,32.0,Female,Chennai,Standard,917.04,9.92,183,34,2,41,UPI,Average,0,Android,No,3.7
C10015,41.0,Female,Chennai,Premium,650.37,5.18,267,47,1,83,Auto Pay,Excellent,1,Android,No,4.2
C10319,25.0,Female,Pune,Standard,855.94,15.5,215,35,2,45,Debit Card,Excellent,0,iPhone,No,3.5
C11052,57.0,Male,Madurai,Premium,287.32,13.53,274,46,1,53,Auto Pay,Average,0,Android,No,4.6
C10672,58.0,Female,Madurai,Premium,2309.59,10.12,313,52,1,66,Net Banking,Excellent,0,Android,Yes,4.2
C10183,,Male,Madurai,Standard,623.26,9.14,341,44,2,22,Credit Card,Good,3,Android,No,3.9
C11120,22.0,Female,Coimbatore,Unlimited,1296.06,12.29,123,38,1,84,Auto Pay,Average,0,Android,No,3.8
